,ID,历史价格,时间
0,361348,659.00,2022-04-04
1,1035901,45.90,2022-04-04
2,2232378,459.00,2022-04-04
3,2322996,115.00,2022-04-04
4,2323589,106.00,2022-04-04
5,2673757,1199.00,2022-04-04
6,2835917,319.00,2022-04-04
7,2971313,18.80,2022-04-04
8,2990352,469.00,2022-04-04
9,2990358,359.00,2022-04-04
10,2990374,195.00,2022-04-04
11,2990384,209.00,2022-04-04
12,2990388,799.00,2022-04-04
13,2990398,279.00,2022-04-04
14,3087293,120.00,2022-04-04
15,3930315,309.00,2022-04-04
16,4080291,10.90,2022-04-04
17,4311790,498.00,2022-04-04
18,4311792,568.00,2022-04-04
19,4311814,618.00,2022-04-04
20,4311902,210.00,2022-04-04
21,4343838,149.00,2022-04-04
22,4368712,628.00,2022-04-04
23,4368728,728.00,2022-04-04
24,4648076,199.00,2022-04-04
25,4648088,199.00,2022-04-04
26,4972612,329.00,2022-04-04
27,5120206,299.00,2022-04-04
28,5143646,1028.00,2022-04-04
29,5143648,658.00,2022-04-04
30,5158119,155.00,2022-04-04
31,5446512,75.00,2022-04-04
32,5760191,658.00,2022-04-04
33,5760197,608.00,2022-04-04
34,5760199,1008.00,2022-04-04
35,5819867,358.00,2022-04-04
36,6043315,55.00,2022-04-04
37,6050398,55.00,2022-04-04
38,6190146,155.00,2022-04-04
39,6291116,89.00,2022-04-04
40,7032274,199.00,2022-04-04
41,7246069,199.00,2022-04-04
42,7384589,15.90,2022-04-04
43,7385065,379.00,2022-04-04
44,7601074,492.00,2022-04-04
45,7867908,8.90,2022-04-04
46,8142893,225.00,2022-04-04
47,8646589,225.00,2022-04-04
48,1093832459,299.00,2022-04-04
49,1249277141,1595.00,2022-04-04
50,1294085306,88.00,2022-04-04
51,1760487425,298.00,2022-04-04
52,1781277333,256.00,2022-04-04
53,1959605540,39.90,2022-04-04
54,1959812545,41.80,2022-04-04
55,1959812551,41.80,2022-04-04
56,1959815131,41.80,2022-04-04
57,1985843603,89.00,2022-04-04
58,10111820907,256.00,2022-04-04
59,10277662824,125.00,2022-04-04
60,10277853020,132.00,2022-04-04
61,10279539800,188.00,2022-04-04
62,10279584155,176.00,2022-04-04
63,10360511797,63.00,2022-04-04
64,10372784673,44.90,2022-04-04
65,10483999868,158.00,2022-04-04
66,10484588383,669.00,2022-04-04
67,10594752619,399.00,2022-04-04
68,11067527590,11.90,2022-04-04
69,11258991343,106.00,2022-04-04
70,11680165109,98.00,2022-04-04
71,12049090771,998.00,2022-04-04
72,12085307744,998.00,2022-04-04
73,12947515146,499.00,2022-04-04
74,13154801006,188.00,2022-04-04
75,13179797973,69.90,2022-04-04
76,13699145591,4.20,2022-04-04
