,ID,一级类目,二级类目,品牌,名称,价格,时间
0,361348,香水彩妆,香水,迪奥（Dior）,迪奥Dior花漾淡香氛/淡香水30ml(新旧款式随机发货)香水女士 清新淡花香 送女友 送朋友,599.00,2022-04-07
1,1035901,美妆工具,化妆棉,丽丽贝尔,丽丽贝尔LilyBell全棉化妆棉卸妆棉湿敷洁面袋装222枚*3包（日本技术 不掉絮 卸妆卸甲）,39.90,2022-04-07
2,2232378,香水彩妆,隔离霜/妆前乳,肌肤之钥（Cle de Peau）,日本 CPB 肌肤之钥（Cle de Peau） 新版钻石光感隔离霜 妆前乳 滋润 37ml 长管隔离国际版 彩妆礼物,439.00,2022-04-07
3,2322996,面部护肤,乳液/面霜,欧莱雅（LOREAL）,德国 欧莱雅（LOREAL）复颜抗皱紧致滋润日霜 日间修护 提拉紧致 淡纹去斑 50ml,112.00,2022-04-07
4,2323589,面部护肤,乳液/面霜,欧莱雅（LOREAL）,德国 欧莱雅（LOREAL）复颜抗皱紧致滋润晚霜 夜间修护 提拉紧致淡纹 50 ml,103.00,2022-04-07
5,2673757,面部护肤,乳液/面霜,希思黎（Sisley）,希思黎 (Sisley) 全能乳液125ml（面霜 补水保湿 深层滋养）送女友 送老婆 护肤礼物,1149.00,2022-04-07
6,2835917,面部护肤,乳液/面霜,雪花秀,雪花秀(SULWHASOO)乳液 滋盈肌本平衡保湿乳125ml(补水保湿 紧致抗皱 润肤乳 护肤品化妆品 礼物女),309.00,2022-04-07
7,2971313,美妆工具,化妆棉,舒蔻,尤妮佳舒蔻 1/2省水 湿敷补水不掉絮柔软型 原装进口化妆棉 卸妆棉洗脸巾40片,19.90,2022-04-06
8,2990352,面部护肤,套装/礼盒,雪花秀,雪花秀套装 滋盈肌本水乳套装 护肤品套装(爽肤水125ml+乳液125ml+精华面霜) 化妆品套装 生日礼物送女友,459.00,2022-04-07
9,2990358,面部护肤,套装/礼盒,兰芝（LANEIGE）,兰芝致美青春水乳套装 护肤品套装(爽肤水120ml+乳液100ml)  化妆品套装 护肤套装 护肤礼盒 补水 礼物送女友,339.00,2022-04-07
10,2990360,面部护肤,套装/礼盒,兰芝（LANEIGE）,兰芝水库凝肌水乳套装 护肤品套装清爽型(爽肤水200ml+乳液120ml+精华面霜+睡眠面膜) 化妆品套装 礼物送女友,259.00,2022-04-07
11,2990374,面部护肤,面膜,兰芝（LANEIGE）,兰芝(LANEIGE)睡眠面膜 夜间水润轻透面膜70ml (保湿补水 免洗滋养 收缩毛孔 男女适用),189.00,2022-04-07
12,2990384,面部护肤,洁面,雪花秀,雪花秀(SULWHASOO)洗面奶 顺行氨基酸洁面乳200ml(洗面奶女男士通用 去角质 温和敏感肌),199.00,2022-04-07
13,2990388,面部护肤,套装/礼盒,雪花秀,雪花秀套装 滋盈肌本水乳精华护肤品套装(爽肤水125ml+乳液125ml+精华液90ml+面霜)化妆品套装 礼物送女友,809.00,2022-04-07
14,2990398,面部护肤,套装/礼盒,兰芝（LANEIGE）,兰芝水库凝肌水乳套装 护肤品套装滋润型(爽肤水200ml+乳液120ml+精华面霜+睡眠面膜 )化妆品套装 礼物送女友,259.00,2022-04-07
15,3087293,面部护肤,洁面,芙丽芳丝（Freeplus）,日本进口 芙丽芳丝(freeplus) 氨基酸洁面乳净润洗面奶 100g 深层清洁 温和 敏感肌男女适用,135.00,2022-04-07
16,3930315,面部护肤,眼膜,蛇毒（Spa treatment）,日本进口 蛇毒（Spa treatment）HAS红蛇毒眼膜60枚/盒 抗皱紧致淡化细纹补水保湿,299.00,2022-04-07
17,4080291,美妆工具,化妆棉,悠珂思（ukiss）,悠珂思（ukiss）轻柔花语双面化妆棉200片/包（卸妆棉、卸甲拍水湿敷、双面厚款棉片清洁面巾不掉絮新疆棉）,9.90,2022-04-07
18,4311790,面部护肤,套装/礼盒,苏秘37°（Su:m37°）,苏秘 Sum37度 呼吸 时光能量水乳护肤礼盒7件套 滋润肌肤 新包装(水+乳+面霜+洁面) 免税直采 礼盒套装,478.00,2022-04-07
19,4311792,面部护肤,套装/礼盒,苏秘37°（Su:m37°）,苏秘 Sum37度 呼吸 惊喜水分保湿水乳礼盒10件套 提亮肤色(水+乳+面霜+精华+洁面) 免税直采 礼盒套装,525.00,2022-04-07
20,4311814,面部护肤,套装/礼盒,后（The history of Whoo）,韩国进口 后Whoo 拱辰享水妍水乳护肤品6件套盒344ml(水+乳+面霜+洁面)滋润养肤 塑封发送 专柜版,618.00,2022-04-07
21,4311902,面部护肤,洁面,后（The history of Whoo）,韩国进口 后Whoo 拱辰享洗面奶气韵生泡沫洁面膏180ml(天然无刺激 晶莹细腻 温和洁净 滋润保湿),210.00,2022-04-07
22,4343838,面部护肤,面膜,春雨（Papa recipe）,韩国进口 春雨papa recipe 黄色经典款蜂蜜面膜 补水保湿滋养 孕妇敏感肌可用男女通用 黄春雨10片/盒,139.00,2022-04-07
23,4368712,面部护肤,套装/礼盒,后（The history of Whoo）,韩国进口 后Whoo 拱辰享气韵生水乳护肤品6件套盒350ml(水+乳+面霜+洁面) 京仓塑封发送 专柜版,628.00,2022-04-07
24,4368728,面部护肤,套装/礼盒,后（The history of Whoo）,韩国进口 后Whoo 津率享红华凝香护肤品6件套盒315ml(水+乳+精华+面霜)  塑封发送 专柜版,728.00,2022-04-07
25,4648076,面部护肤,套装/礼盒,后（The history of Whoo）,韩国进口 后Whoo 拱辰享水妍67ml试用装(水20ml+乳20ml+霜4ml+秘贴水前精华15ml+秘贴精华8ml) 水妍小样5件套,199.00,2022-04-07
26,4648088,面部护肤,套装/礼盒,后（The history of Whoo）,韩国进口 后Whoo 拱辰享特别企划64ml试用装(水20ml+乳20ml+精华10ml+眼霜4ml+霜10ml) 气韵生小样5件套,199.00,2022-04-07
27,4722464,香水彩妆,蜜粉/散粉,梦妆（Mamonde）,梦妆(Mamonde)花运扑扑发际线粉01棕黑色4g 护肤品化妆品美妆男女士 阴影粉散粉,75.00,2022-04-06
28,4972612,面部护肤,乳液/面霜,黛珂（COSME DECORTE）,日本进口 黛珂Cosme Decorte牛油果乳液150ml 补水保湿 软化肤质 改善粗糙 痘痘闭口 护肤礼物,329.00,2022-04-07
29,5120206,香水彩妆,气垫BB/BB霜,雪花秀,雪花秀(SULWHASOO)气垫bb霜 致美养肤遮瑕隔离防晒粉底液(赠替换芯 SPF50+/PA+++ 礼物送女友)21号自然粉15g,289.00,2022-04-07
30,5143646,面部护肤,套装/礼盒,后（The history of Whoo）,韩国进口 后Whoo 天气丹花献光彩紧颜水乳护肤品7件套盒333ml(水+乳+面霜+眼霜+精华) 专柜版,1028.00,2022-04-07
31,5143648,面部护肤,套装/礼盒,后（The history of Whoo）,韩国进口 后Whoo 拱辰享雪玉凝水乳7件护肤品套装321ml(水+乳+面霜+光彩颜膏+啫喱)塑封发送专柜版,658.00,2022-04-07
32,5158119,身体护理,润肤,松山油脂（MatsuYama）,日本进口 松山油脂 M-mark系列 柚子身体乳精华润肤露 300ml 保湿滋润,155.00,2022-04-07
33,5446512,面部护肤,润唇膏,资生堂,日本进口 资生堂(SHISEIDO) MOILIP修护润唇膏 8g/支 滋润保湿 淡化唇纹 男女可用,72.00,2022-04-07
34,5760191,面部护肤,套装/礼盒,后（The history of Whoo）,韩国进口 后Whoo 秘贴精华液护肤品5件套盒93ml(秘贴精华+清颜精华+面霜+唇膏1支) 免税版,698.00,2022-04-07
35,5760197,面部护肤,套装/礼盒,后（The history of Whoo）,韩国进口后Whoo 拱辰享气韵生水乳霜护肤品7件套盒338ml(水+乳+面霜+口红1支）京仓塑封发送免税版,658.00,2022-04-07
