进口明细号	进口明细_实际金额	进口明细_已付款金额	进口明细_未核销金额	进口明细_已核销金额	pk_detail_b	pk_detail
11785754-01	261360	261360	0	261360	1001A610000000472VMO	1001A610000000472VMN
1200067502-01	119790	119790	0	119790	1001A6100000004BLNTQ	1001A6100000004BLNTP
19300239-01	111870	1800	1782	18	1001A6100000004DHE08	1001A6100000004DHE07
5643275-02	64812.5	2000	1998	2	1001A6100000004AT42F	1001A6100000004AT42E
6200007475-01	89100	9000	8995	5	1001A6100000004ACSIJ	1001A6100000004ACSII
6200008186-01	65	40	39	1	1001A6100000004BY4Q3	1001A6100000004BY4Q2
CHC/2111/FF069(F)-01	92718	92718	0	92718	1001A61000000049DTA7	1001A61000000049DTA6
EXP211122001-04	1036000	6000	5997	3	1001A6100000004DJD7P	1001A6100000004DJD7O
EXP211201007-01	595500	5500	5487	13	1001A6100000004F2ZQ4	1001A6100000004F2ZQ3
MRNFHK211020-5-02	57915	0	0	0	1001A6100000004BVZJB	1001A6100000004BVZJA
MRNFHK211116-1-01	329670	5000	4990	10	1001A6100000004E45UZ	1001A6100000004E45UY
转口明细号	转口明细_实际金额	转口明细_未核销金额	转口明细_已核销金额	转口明细_已收款金额	转口明细_预计收汇日_交单	转口明细_预计收汇日	pk_detail_b	pk_detail
EP2101270231	416250	0	416250	416250			1001A61000000028SDM8	1001A61000000028SDM7
EP2107210150	102960	0	102960	102960			1001A6100000003FCAP2	1001A6100000003FCAP0
EP2110120041	50850	0	50850	50850	2022/1/16	2022/1/28	1001A610000000401NFB	1001A610000000401NFA
EP2111090089	4380	0	4380	4380	2022/1/16	2022/1/28	1001A61000000047SQXF	1001A61000000047SQXE
EP2111190181	135360	0	0	0		2022/1/26	1001A6100000004AP67L	1001A6100000004AP67K
EP2111230192	114840	114810	30	114840	2021/12/25	2022/1/2	1001A6100000004BA3IX	1001A6100000004BA3IW
EP2111260245	133100	66519	31	66550	2022/2/15	2022/2/1	1001A6100000004CRJYG	1001A6100000004CRJYF
EP2111300282	194,040	0	0	0	2022/2/5	2022/1/30	1001A6100000004E5IGP	1001A6100000004E5IGO
EP2107220169	223740	1870	10000	11870	2022/2/25	2021/12/29	1001A6100000003FO2U6	1001A6100000003FO2U5
EP2111080056	79560	60000	10000	70000	2022/3/17	2021/12/14	1001A61000000047G170	1001A61000000047G16Z
EP2111080057	80070	70	80000	80070	2022/4/6	2021/11/29	1001A61000000047G1TF	1001A61000000047G1TE
出口明细号	出口明细_实际金额	出口明细_未核销金额	出口明细_已核销金额	出口明细_已收款金额	出口明细_预计收汇日_交单	出口明细_预计收汇日	pk_detail_b	pk_detail
ES2104140084	65000	0	65000	65000	2021/12/28	2022/2/6	1001A6100000002Q9XWE	1001A6100000002Q9XWD
ES2109090011	285120	0	285120	285120	2021/12/25	2022/1/2	1001A6100000003SLMYO	1001A6100000003SLMYN
ES2109290041	231840	77248	32	77280	2022/2/5	2022/1/30	1001A6100000003XI4H7	1001A6100000003XI4H6
ES2111190044	40880	0	40880	40880	2022/2/15	2022/2/1	1001A6100000004AME5Q	1001A6100000004AME5P
ES2111260080	223860	55932	33	55965	2021/12/28	2022/2/6	1001A6100000004CXE8Y	1001A6100000004CXE8X
ES2111290096	37800	0	0	0	2022/2/14	2022/1/25	1001A6100000004DPBTF	1001A6100000004DPBTE
ES2108250041	998478	900000	98478	998478	2021/11/28	2022/3/23	1001A6100000003O63DN	1001A6100000003O63DM
ES2109020002	133840	30000	3840	33840	2021/10/29	2022/5/7	1001A6100000003REVP5	1001A6100000003REVP4
ES2109060008	30810	10000	20000	30000	2021/11/8	2022/4/22	1001A6100000003RSK44	1001A6100000003RSK43
ES2109180027	61620	6162	55435	61597	2021/12/18	2022/2/21	1001A6100000003UHDAA	1001A6100000003UHDA9
ES2109240033	70720	720	70000	70720	2021/12/8	2022/3/8	1001A6100000003VQMRK	1001A6100000003VQMRJ
ES2109280037	133130.4	100000	30000	130000	2021/11/18	2022/4/7	1001A6100000003X4163	1001A6100000003X4162
